word_count,grapheme_count,codepoint_count,src,single_line_width_px,wrapped_line_count,estimated_image_height_px,fits_single_line,pixels_per_grapheme
8,32,45,CulturaX,818.375,1,91,True,25.57421875
28,137,185,CulturaX,3624.671875,5,263,False,26.45745894160584
60,252,349,CulturaX,6543.328125,8,392,False,25.965587797619047
14,63,86,CulturaX,1706.609375,2,134,False,27.0890376984127
15,59,86,CulturaX,1647.265625,2,134,False,27.919756355932204
17,75,102,CulturaX,1942.640625,3,177,False,25.901875
30,137,195,CulturaX,3602.640625,4,220,False,26.29664689781022
8,46,62,CulturaX,1252.1875,2,134,False,27.221467391304348
18,85,122,CulturaX,2309.53125,3,177,False,27.170955882352942
8,29,41,CulturaX,742.90625,1,91,True,25.617456896551722
7,31,49,CulturaX,855.59375,1,91,True,27.599798387096776
49,210,302,CulturaX,5778.75,7,349,False,27.517857142857142
12,46,69,CulturaX,1316.734375,2,134,False,28.624660326086957
46,211,307,CulturaX,5750.46875,7,349,False,27.253406398104264
17,72,99,CulturaX,1833.8125,2,134,False,25.469618055555557
35,156,211,CulturaX,4014.234375,5,263,False,25.732271634615383
28,111,159,CulturaX,2936.25,4,220,False,26.4527027027027
18,90,131,CulturaX,2357.453125,3,177,False,26.19392361111111
7,31,50,CulturaX,852.8125,1,91,True,27.510080645161292
35,147,218,CulturaX,3953.125,5,263,False,26.892006802721088
12,60,90,CulturaX,1651.078125,2,134,False,27.51796875
19,76,106,CulturaX,2132.140625,3,177,False,28.054481907894736
33,151,204,CulturaX,4021.265625,5,263,False,26.630898178807946
20,80,119,CulturaX,2061.703125,3,177,False,25.7712890625
16,70,98,CulturaX,1920.828125,3,177,False,27.440401785714286
19,77,100,CulturaX,1855.859375,2,134,False,24.102069805194805
27,101,138,CulturaX,2738.546875,3,177,False,27.114325495049506
20,74,100,CulturaX,1903.21875,2,134,False,25.7191722972973
10,38,44,CulturaX,891.890625,1,91,True,23.47080592105263
8,37,51,CulturaX,971.625,2,134,False,26.260135135135137
15,63,81,CulturaX,1639.671875,2,134,False,26.0265376984127
39,164,231,CulturaX,4366.296875,5,263,False,26.62376143292683
16,68,99,CulturaX,1962.203125,3,177,False,28.85592830882353
9,34,49,CulturaX,900.28125,1,91,True,26.47886029411765
